CITY_CODE,STATE,NUM_PARTICIPANTS,NATURAL_SCIENCES_SCORE_AVG,HUMANITIES_SCORE_AVG,LANGUAGES_SCORE_AVG,MATH_SCORE_AVG,ESSAY_SCORE_AVG,OVERALL_SCORE_AVG,CITY,FAMILY_INCOME_SM_AVG,CLUSTER
4204202,SC,4044,529.2963649851632,543.9496785361029,526.5282888229475,548.0189910979228,545.0840751730959,538.5754797230466,CHAPECÓ,2.524307059333045,2
4204301,SC,1510,533.6266887417219,540.7217880794702,522.2796026490066,547.8514569536424,563.6688741721854,541.6296821192052,CONCÓRDIA,2.519554753309266,2
4204608,SC,3836,532.761496350365,548.3557612095934,533.2994004171012,558.8842805005214,548.3524504692388,544.3306777893639,CRICIÚMA,2.7549457562220803,2
4204806,SC,651,506.4533026113671,522.2179723502304,508.8302611367128,512.5606758832565,502.7035330261137,510.5531490015361,CURITIBANOS,2.096055979643766,1
4205001,SC,587,510.6727427597956,526.1560477001703,511.1461669505962,514.557069846678,516.4565587734241,515.7977172061329,DIONÍSIO CERQUEIRA,2.021545827633379,1
4205407,SC,9412,558.5745218869529,570.5794198895028,552.4805779855503,581.5806629834254,577.9218019549511,568.2273969400765,FLORIANÓPOLIS,2.5899607475040534,2
4205506,SC,564,513.2886524822695,526.8663120567376,516.8361702127659,536.945390070922,541.4893617021277,527.0851773049645,FRAIBURGO,2.227401129943503,2
4205704,SC,521,518.7644913627639,533.0986564299425,524.8913627639156,538.8013435700576,513.0902111324376,525.7292130518234,GAROPABA,2.244891008174387,2
4206504,SC,506,508.46482213438736,519.4863636363635,514.8320158102766,514.492490118577,509.1699604743083,513.2891304347827,GUARAMIRIM,2.6343797856049003,1
4207007,SC,604,514.6675496688742,524.2496688741721,512.4218543046358,532.264238410596,534.0728476821192,523.5352317880795,IÇARA,2.554006968641115,2
4207304,SC,779,507.5718870346598,525.2505776636714,515.9340179717586,519.3406931964057,520.4364569961489,517.7067265725289,IMBITUBA,2.1606425702811247,1
4207502,SC,624,518.5177884615384,530.2735576923077,518.0974358974358,528.1108974358974,515.1602564102565,522.0319871794871,INDAIAL,2.5096717467760845,2
4208203,SC,3715,515.9621265141319,530.3936742934051,523.1537819650067,529.9057873485868,534.3257065948856,526.7482153432031,ITAJAÍ,2.443575418994413,2
4208302,SC,1357,523.1663964627855,532.5761238025055,526.7666912306559,529.7193809874723,535.1510685335298,529.4759322033899,ITAPEMA,2.412577479338843,2
4208401,SC,604,526.7544701986756,533.9019867549669,512.5306291390729,549.044701986755,545.5960264900663,533.5655629139072,ITAPIRANGA,2.297939068100358,2
4208500,SC,584,515.648801369863,526.1494863013698,509.31780821917806,532.0878424657534,534.1438356164383,523.4695547945205,ITUPORANGA,2.2746913580246915,2
4208906,SC,2116,533.3325614366729,545.8816162570888,533.9415406427221,557.2416351606805,554.3289224952741,544.9452551984878,JARAGUÁ DO SUL,2.794791666666667,2
4209003,SC,1700,524.9751176470588,537.0763529411765,522.5528823529412,538.7559411764706,545.0117647058823,533.674411764706,JOAÇABA,2.612850082372323,2
4209102,SC,8176,534.1195817025441,547.9610200587084,537.2440802348336,560.2121086105675,560.9075342465753,548.0888649706459,JOINVILLE,2.824047063399456,2
4209300,SC,2908,522.730674002751,528.7934662998624,517.9741746905089,529.7013755158184,531.1004126547456,526.0600206327373,LAGES,2.199526191102922,2
4209409,SC,684,515.7887426900585,531.7406432748538,520.7687134502924,531.3211988304093,521.2280701754386,524.1694736842105,LAGUNA,2.125454545454545,2
4210100,SC,905,529.86,539.3322651933702,518.1602209944751,544.1269613259669,529.7900552486187,532.2539005524862,MAFRA,2.4111644657863147,2
4210506,SC,1293,522.7797370456303,534.3709203402939,515.0488012374323,531.8765661252901,540.1392111368909,528.8430471771075,MARAVILHA,2.469917012448133,2
4211306,SC,1280,505.96390625,519.596171875,515.781171875,515.31515625,521.40625,515.6125312500001,NAVEGANTES,2.2474066390041494,1
4211702,SC,572,521.1669580419581,532.3788461538462,512.7722027972028,523.6012237762238,521.9580419580419,522.3754545454547,ORLEANS,2.563063063063063,2
4211900,SC,3059,525.9718862373325,538.8631905851586,527.3729650212488,542.1124223602484,537.1297809741745,534.2900490356326,PALHOÇA,2.541763942931258,2
4212106,SC,748,512.6683155080215,521.8351604278075,506.288770053476,522.8554812834225,502.379679144385,513.2054812834225,PALMITOS,2.232456140350877,1
